t,mean,max
1,1,1
50,0.992566,1
100,0.98901,1
150,0.980818,1
200,0.97809,1
250,0.966572,1
300,0.958628,1
350,0.954592,1
400,0.943447,1
450,0.93697,1
500,0.932296,1
550,0.922217,1
600,0.914667,1
650,0.912018,1
700,0.902077,1
750,0.892512,1
800,0.889765,1
850,0.879827,1
900,0.873115,1
950,0.872527,1
1000,0.863987,1
1050,0.853046,1
1100,0.846394,1
1150,0.842381,1
1200,0.836971,1
1250,0.832348,1
1300,0.830333,1
1350,0.82238,1
1400,0.813408,1
1450,0.814152,1
1500,0.804802,1
1550,0.792433,1
1600,0.791048,1
1650,0.790762,1
1700,0.778086,1
1750,0.772498,1
1800,0.770646,1
1850,0.760536,1
1900,0.748893,1
1950,0.748358,1
2000,0.738523,1
2050,0.726589,1
2100,0.724532,1
2150,0.71849,1
2200,0.707724,1
2250,0.700739,1
2300,0.698769,1
2350,0.690866,1
2400,0.678667,1
2450,0.681019,1
2500,0.676902,1
2550,0.671627,1
2600,0.668082,1
2650,0.674006,1
2700,0.673423,1
2750,0.673862,1
2800,0.681346,1
2850,0.677537,1
2900,0.670455,1
2950,0.675116,1
3000,0.678148,1
3050,0.673362,1
3100,0.672894,1
3150,0.675256,1
3200,0.679062,1
3250,0.673334,1
3300,0.66084,1
3350,0.65454,1
3400,0.660804,1
3450,0.665375,1
3500,0.659595,1
3550,0.666141,1
3600,0.667839,1
3650,0.663446,1
3700,0.649601,1
3750,0.641839,1
3800,0.641963,1
3850,0.646526,1
3900,0.638496,1
3950,0.630989,1
4000,0.629591,1
4050,0.632909,1
4100,0.621647,1
4150,0.614941,1
4200,0.621219,1
4250,0.619338,1
4300,0.607076,1
4350,0.607915,1
4400,0.611572,1
4450,0.608977,1
4500,0.599314,1
4550,0.594472,1
4600,0.596256,1
4650,0.593712,1
4700,0.588235,1
4750,0.588406,1
4800,0.595361,1
4850,0.598395,1
4900,0.588599,1
4950,0.587046,1
5000,0.590593,1
5050,0.588333,1
5100,0.578941,1
5150,0.576543,1
5200,0.57638,1
5250,0.576102,1
5300,0.565881,1
5350,0.562996,1
5400,0.56616,1
5450,0.56759,1
5500,0.564952,1
5550,0.561738,1
5600,0.570402,1
5650,0.568742,1
5700,0.56213,1
5750,0.560396,1
5800,0.557813,1
5850,0.56307,1
5900,0.558425,1
5950,0.547455,1
6000,0.546107,1
6050,0.555271,1
6100,0.554937,1
6150,0.54179,1
6200,0.542768,1
6250,0.552,1
6300,0.552995,1
6350,0.544301,1
6400,0.542819,1
6450,0.54139,1
6500,0.539674,1
6550,0.532371,1
6600,0.538299,1
6650,0.545781,1
6700,0.544586,1
6750,0.53924,1
6800,0.530089,1
6850,0.536767,1
6900,0.542661,1
6950,0.544212,1
7000,0.530555,1
7050,0.53551,1
